Timestep;Time span;Sum [var]
559;09:19:00;92,70876265583006
560;09:20:00;92,7076999945689
561;09:21:00;92,70572223264423
562;09:22:00;92,69821111463773
563;09:23:00;92,69606901319078
564;09:24:00;92,68052933542852
565;09:25:00;92,6766194818582
566;09:26:00;92,67512380980685
567;09:27:00;92,67389267006394
568;09:28:00;92,66515611890871
569;09:29:00;92,63938551838471
570;09:30:00;92,63136109921102
571;09:31:00;92,62516987652725
572;09:32:00;92,61649803864668
573;09:33:00;92,60367397323792
574;09:34:00;92,59426679884608
575;09:35:00;92,5917765725008
576;09:36:00;92,59002648006859
577;09:37:00;92,58370374316789
578;09:38:00;92,57944689605142
579;09:39:00;92,56583298883726
580;09:40:00;92,56416310438014
581;09:41:00;92,55542680206547
582;09:42:00;92,54675709685858
583;09:43:00;92,53463133752082
584;09:44:00;92,53272546653577
585;09:45:00;92,52633247675202
586;09:46:00;92,52386249833197
587;09:47:00;92,52094004527649
588;09:48:00;92,51829073815996
589;09:49:00;92,51550005487047
590;09:50:00;92,50994720696394
591;09:51:00;92,50898419285926
592;09:52:00;92,48085973270426
593;09:53:00;92,47881919104083
594;09:54:00;92,47812472195201
595;09:55:00;92,4706219222166
596;09:56:00;92,46970500285025
597;09:57:00;92,458872835649
598;09:58:00;92,45540824199111
599;09:59:00;92,44697899917539
600;10:00:00;92,44677220651056
601;10:01:00;92,4452784163442
602;10:02:00;92,43776491592952
603;10:03:00;92,43739496907311
604;10:04:00;92,43083567311669
605;10:05:00;92,42901470871405
606;10:06:00;92,42453959746749
607;10:07:00;92,42122946103326
608;10:08:00;92,41821429610397
609;10:09:00;92,41676970084501
610;10:10:00;92,4008410492645
611;10:11:00;92,3925715067906
612;10:12:00;92,38309276090568
613;10:13:00;92,37861682975867
614;10:14:00;92,37846148781988
615;10:15:00;92,3778848277124
616;10:16:00;92,37641827055907
617;10:17:00;92,3732002341239
618;10:18:00;92,36026287914399
619;10:19:00;92,34957530790675
620;10:20:00;92,33650004729037
621;10:21:00;92,33396929662845
622;10:22:00;92,32924857709469
623;10:23:00;92,32738465035386
624;10:24:00;92,30855787642163
625;10:25:00;92,29604756422414
626;10:26:00;92,28156584084422
627;10:27:00;92,27648467934532
628;10:28:00;92,27333415169775
629;10:29:00;92,24911814019951
630;10:30:00;92,24554186339475
631;10:31:00;92,24504212088291
632;10:32:00;92,24372079056309
633;10:33:00;92,23888052995139
634;10:34:00;92,2338235654849
635;10:35:00;92,20830037843517
636;10:36:00;92,20802622465466
637;10:37:00;92,19916721143562
638;10:38:00;92,19055528061872
639;10:39:00;92,18190407679207
640;10:40:00;92,18104438081652
641;10:41:00;92,18083372247116
642;10:42:00;92,1683571510646
643;10:43:00;92,14913596962896
644;10:44:00;92,13693835943197
645;10:45:00;92,13395333377576
646;10:46:00;92,12867530947486
647;10:47:00;92,12019813326647
648;10:48:00;92,09489068193021
649;10:49:00;92,09170137899058
650;10:50:00;92,0768785432149
651;10:51:00;92,07068153820265
652;10:52:00;92,0609211077981
653;10:53:00;92,0432276688072
654;10:54:00;92,02560377136167
655;10:55:00;92,02168413427304
656;10:56:00;92,01701128282892
657;10:57:00;92,00953103700603
658;10:58:00;92,00886072071047
659;10:59:00;92,00650104960458
660;11:00:00;92,00014232506643
661;11:01:00;91,99946500658001
662;11:02:00;91,98802381906192
663;11:03:00;91,98795037089073
664;11:04:00;91,9864679879177
665;11:05:00;91,97262047164861
666;11:06:00;91,96696005822864
667;11:07:00;91,95644604994996
668;11:08:00;91,93245932658836
669;11:09:00;91,91408450931137
670;11:10:00;91,89926709497686
671;11:11:00;91,89856409589608
672;11:12:00;91,88795353981872
673;11:13:00;91,88105124825248
674;11:14:00;91,87513181688317
675;11:15:00;91,86138149510148
676;11:16:00;91,85069176592023
677;11:17:00;91,81392337181832
678;11:18:00;91,7973318599815
679;11:19:00;91,79374221895233
680;11:20:00;91,77443465214643
