Reactive.Time;Time span;Living Room Light (100W) [var];Kitchen Light (100W) [var];Cellar Light (200W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (200W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];Electric Kettle / Petra WK288 1.5L [var];AEG PN 2200 RX 4935365097 [var];Hand-held Circular Saw / Bosch PKS 46 [var];Skil 4270 [var];Polishing Machine / Flex L 602 VR [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Microwave / Panasonic NN 5259 [var];Dishwasher NEFF SD6P1F (2011) [var];Laptop Sony Vaio SVE151G11M [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];AEG NM 2701 Premium [var];Hair Dryer Braun Silencio 1250 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Siemens Kl 20 LA 65 (A+) [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];Router O2 Box 6431 [var];
40;00:40:00;0;0;0;0;0;0;0;0;0,3329631534511667;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2682753306749214;-49,8641131147541;0,3334507197028829;0;0;0;0;2,8938785729370937;-147,808983606557;-23,7714639344262;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
41;00:41:00;0;0;0;0;0;0;0;0;0,3335340869360013;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,26882145574462585;-49,8540049180328;0,3335589606748574;0;0;0;0;2,8978103813345655;-147,77137704918;-23,7714639344262;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
42;00:42:00;0;0;0;0;0;0;0;0;0,33368519117320306;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,26927045844969255;-49,8540049180328;0,3335971265282057;0;0;0;0;2,8986814986604967;-147,77137704918;-23,7706196721312;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
43;00:43:00;0;0;0;0;0;0;0;0;0,33430452950388734;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,26933084972717114;-49,8540049180328;0,3337247968824946;0;0;0;0;2,901574396163536;-147,77137704918;-23,7706196721312;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
44;00:44:00;0;0;0;0;0;0;0;0;0,334470879111271;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2694099081483596;-49,8540049180328;0,33381121416183185;0;0;0;0;2,904746630994692;-147,425475409836;-23,7578590163935;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
45;00:45:00;0;0;0;0;0;0;0;0;0,33450566161676354;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,26955260820894694;-49,8540049180328;0,33417903960903006;0;0;0;0;2,9103354649096946;-147,425475409836;-23,7578590163935;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
46;00:46:00;0;0;0;0;0;0;0;0;0,33455231621797077;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,26986780891836926;-49,8540049180328;0,33445658375637055;0;0;0;0;2,9109247396753077;-144,670652459016;-23,7407754098361;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
47;00:47:00;0;0;0;0;0;0;0;0;0,3346848970805322;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2698744037343735;-49,8540049180328;0,3354837728649058;0;0;0;0;2,91678431559262;-144,670652459016;-23,7407754098361;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
48;00:48:00;0;0;0;0;0;0;0;0;0,3351003024776671;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2704013020196631;-49,8540049180328;0,33595456379208544;0;0;0;0;2,9208925506305885;-143,553260655738;-23,6947049180328;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
49;00:49:00;0;0;0;0;0;0;0;0;0,33672080191763076;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2706004197670557;-49,8540049180328;0,33619565459486805;0;0;0;0;2,9220618964024845;-143,553260655738;-23,6947049180328;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
50;00:50:00;0;0;0;0;0;0;0;0;0,3369312697536723;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,270824833528373;-49,8540049180328;0,3365762724191625;0;0;0;0;2,926640015579967;-140,363886885246;-23,4832442622951;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
51;00:51:00;0;0;0;0;0;0;0;0;0,33704157945800706;-24,8040360655738;0;0;0;0;0;0;0;0;0;0;0;0;0,2708400762470598;-49,8106475409836;0,3365788763220361;0;0;0;0;2,9276144805054445;-140,363886885246;-23,4832442622951;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
52;00:52:00;0;0;0;0;0;0;0;0;0,33711934808681976;-24,8040360655738;0;0;0;0;0;0;0;0;0;0;0;0;0,2708773057291291;-49,8106475409836;0,336645071821736;0;0;0;0;2,9295437216730877;-139,391959016393;-23,4832442622951;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
