Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Christopeit Treadmill TM 2 Pro [Watt];Laptop Sony Vaio SVE151G11M [Watt];Lawn Mower / Sabo 32-EL [Watt];Hifi System / Sharp XL-HF300PH [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Microsoft Xbox 360 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Dryer / Miele T 8626 WP [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];Hair Dryer Braun Silencio 1250 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Router O2 Box 6431 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];
32;00:32:00;0;0;0;0;0;0;0;1,0013250244111627;0;0;0;0;1,192566390129342;0,9250520962317054;0;0;2,096663982410145;0;2,2099889947926767;0;0;0,8010680213734476;0,20943402396714475;1,0069568528749837;0;2,629110948129627;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
33;00:33:00;0;0;0;0;0;0;0;1,0015686286481302;0;0;0;0;1,198233308455858;0,9251128390993184;0;0;2,0990457793267425;0;2,2105021828232885;0;0;0,803410995946983;0,20959424980432592;1,0071926768210517;0;2,6335760886824215;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
34;00:34:00;0;0;0;0;0;0;0;1,001940921815515;0;0;0;0;1,2008914128024406;0,9253504777744339;0;0;2,1009455497915095;0;2,2107853246832425;0;0;0,8034558668177099;0,20995033354635312;1,0097652063804703;0;2,6421503738313468;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
35;00:35:00;0;0;0;0;0;0;0;1,001970287906805;0;0;0;0;1,2025362537239352;0,925481057637161;0;0;2,10476673732954;0;2,211983656915746;0;0;0,8046583352735537;0,21005790127324012;1,0098914323181565;0;2,648907602015575;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
36;00:36:00;0;0;0;0;0;0;0;1,0027714900017137;0;0;0;0;1,2027756069263456;0,9266810493658677;0;0;2,1071822055529275;0;2,2137361831443525;0;0;0,8048506624798545;0,2102791675062612;1,0101146828117191;0;2,6490397560191075;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
37;00:37:00;0;0;0;0;0;0;0;1,0033554179729374;0;0;0;0;1,2038718138008706;0,9278182185818913;0;0;2,111691129686211;0;2,222740948408282;0;0;0,8054634857353323;0,2103543147502494;1,0110599303906955;0;2,649831003610957;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
38;00:38:00;0;0;0;0;0;0;0;1,0037884909132189;0;0;0;0;1,2064953699939576;0,9284915298167207;0;0;2,112858343321387;0;2,2243301921627205;0;0;0,8057535520779664;0,21039351795131195;1,0127638495504934;0;2,6539297992410953;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
39;00:39:00;0;0;0;0;0;0;0;1,0041161703508472;0;0;0;0;1,2082595823048026;0,9313422415885728;0;0;2,1165105440858434;0;2,2254814809294357;0;0;0,8073400395131067;0,21077343905499887;1,0133955853442105;0;2,662885396958516;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
40;00:40:00;0;0;0;0;0;0;0;1,0046939741622314;0;0;0;0;1,2092635247255623;0,9315882420110045;0;0;2,1174456655480776;0;2,2286437019756677;0;0;0,8078435329580061;0,21079424899812768;1,0146313602990638;0;2,665831050486026;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
41;00:41:00;0;0;0;0;0;0;0;1,005085929422274;0;0;0;0;1,2100988223806652;0,932645920342786;0;0;2,120437290962236;0;2,2301667671236824;0;0;0,8085876923114107;0,2108019678380014;1,0152809679913621;0;2,6684086627387784;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
